date,median-confirmation-time
20/10/2020,20.55833333
21/10/2020,19.9
22/10/2020,23.56666667
23/10/2020,23.85
24/10/2020,18.80833333
25/10/2020,21.34166667
26/10/2020,23.11666667
27/10/2020,25.25
28/10/2020,22.93333333
29/10/2020,21.8375
30/10/2020,14.26666667
31/10/2020,17.01666667
01/11/2020,16.16666667
02/11/2020,13.50833333
03/11/2020,16.96666667
04/11/2020,11.83333333
05/11/2020,10.35
06/11/2020,14.80833333
07/11/2020,9.658333333
08/11/2020,10.43333333
09/11/2020,8.15
10/11/2020,10.1
11/11/2020,11.06666667
12/11/2020,10.2125
13/11/2020,11.13333333
14/11/2020,10.82916667
15/11/2020,8.866666667
16/11/2020,9.941666667
17/11/2020,13.64166667
18/11/2020,10.7
19/11/2020,14
20/11/2020,10.17083333
21/11/2020,9.183333333
22/11/2020,7.916666667
23/11/2020,11.06666667
24/11/2020,15.3875
25/11/2020,13.06666667
26/11/2020,12.50833333
27/11/2020,13.75833333
28/11/2020,13.12083333
29/11/2020,9.795833333
30/11/2020,13.65
01/12/2020,14.94166667
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
